 , , , , ,"34505", , , , , , , , , , , , , , 
 , , , , ,"104950", , , , , , , , , , , , , , 
 , , , , ,"81034", , , , , , , , , , , , , , 
 , , , , ,"2530825", , , , , , , , , , , , , , 
 , , , , ,"210868", , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"H12002*[00100]","H12002*[00200]","H12002*[00300]","H12002*[00400]","H12002*[00500]", , , , , , , , , , , , , , 
 ,"CAPITAL","CAPITAL","PLANT","TRANS-","ADMINIS-", , , , , , , , , , , , , , 
 ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","TRATIVE &", , , , , , , , , , , , , , 
 ,"FIXTURES","EQUIPMENT","MAINT.","ION","GENERAL", , , , , , , , , , , , , , 
 ,"SQUARE","DOLLAR","SQUARE","MILEAGE","ACCUM.", , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"H210001[00000]","H210001[00100]","H210001[00200]", ,"H210001[00400]","H210001[00500]", , , ,"H210001[00900]", ,"H210001[01100]", ,"H210001[01300]", , ,"H210001[01600]","H210001[01700]", , , , , , ,"H210001[02400]", ,"H210001[02600]","H210001[02700]","H210001[02800]"
 ,"77722","41885", ,"864024","201971", , , ,"2668", ,"39989", ,"111109", , ,"10388","230014", , , , , , ,"1579770", ,"1579770"
"3254913", , , , ,"668337", , , , , , , , , , , , , , , , , , ,"3923250", ,"3923250","817687","4740937"
"1918911", , , , ,"394014", , , , , , , , , , , , , , , , , , ,"2312925", ,"2312925","482060","2794985"
"536053", , , , ,"110069", , , , , , , , , , , , , , , , , , ,"646122", ,"646122","134665","780787"
"20491", , , , ,"4207", , , , , , , , , , , , , , , , , , ,"24698", ,"24698","5148","29846"
"222054", , , , ,"45595", , , , , , , , , , , , , , , , , , ,"267649", ,"267649","55783","323432"
"336074", , , , ,"69007", , , , , , , , , , , , , , , , , , ,"405081", ,"405081","84427","489508"
"6288496","77722","41885", ,"864024","1493200", , , ,"2668", ,"39989", ,"111109", , ,"10388","230014", , , , , , ,"9159495", ,"9159495","1579770","9159495"
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"H210002[00100]","H210002[00200]", ,"H210002[00400]","H210002[00500]", , , ,"H210002[00900]", ,"H210002[01100]", ,"H210002[01300]", , ,"H210002[01600]","H210002[01700]", , 
 ,"39478","14073", ,"3869496","983631", , , ,"12675", ,"109515", ,"112302", , ,"7912024","40752", , 
 , , , , ,"3254913", , , , , , , , , , , , , , 
 , , , , ,"1918911", , , , , , , , , , , , , , 
 , , , , ,"536053", , , , , , , , , , , , , , 
 , , , , ,"20491", , , , , , , , , , , , , , 
 , , , , ,"222054", , , , , , , , , , , , , , 
 , , , , ,"336074", , , , , , , , , , , , , , 
 ,"39478","14073", ,"3869496","7272127", , , ,"12675", ,"109515", ,"112302", , ,"7912024","40752", , 
 ,"77722","41885", ,"864024","1493200", , , ,"2668", ,"39989", ,"111109", , ,"10388","230014", , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"H220001[00000]", ,"H220001[00200]", ,"H220001[00400]","H220001[00500]", ,"H220001[00700]", , , ,"H220001[01100]", ,"H220001[01300]", , ,"H220001[01600]","H220001[01700]", , , , , , ,"H220001[02400]", ,"H220001[02600]","H220001[02700]","H220001[02800]"
 , ,"17810", ,"408454","87526", ,"30558", , , ,"19243", ,"44737", , ,"4668","376567", , , , , , ,"989563", ,"989563"
"1944912", , , , ,"399353", , , , , , , , , , , , , , , , , , ,"2344265", ,"2344265","701979","3046244"
"557921", , , , ,"114559", , , , , , , , , , , , , , , , , , ,"672480", ,"672480","201371","873851"
"37380", , , , ,"7675", , , , , , , , , , , , , , , , , , ,"45055", ,"45055","13492","58547"
"113694", , , , ,"23345", , , , , , , , , , , , , , , , , , ,"137039", ,"137039","41036","178075"
"87786", , , , ,"18025", , , , , , , , , , , , , , , , , , ,"105811", ,"105811","31685","137496"
"2741693", ,"17810", ,"408454","650483", ,"30558", , , ,"19243", ,"44737", , ,"4668","376567", , , , , , ,"4294213", ,"4294213","989563","4294213"
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 , ,"H220002[00200]", ,"H220002[00400]","H220002[00500]","H220002[00600]","H220002[00700]", , , ,"H220002[01100]", ,"H220002[01300]", , ,"H220002[01600]","H220002[01700]", , 
 , ,"5984", ,"1829247","426264","2535","2535", , , ,"52699", ,"45217", , ,"3555140","66717", , 
 , , , , ,"1944912", , , , , , , , , , , , , , 
 , , , , ,"557921", , , , , , , , , , , , , , 
 , , , , ,"37380", , , , , , , , , , , , , , 
 , , , , ,"113694", , , , , , , , , , , , , , 
 , , , , ,"87786", , , , , , , , , , , , , , 
 , ,"5984", ,"1829247","3167957","2535","2535", , , ,"52699", ,"45217", , ,"3555140","66717", , 
 , ,"17810", ,"408454","650483", ,"30558", , , ,"19243", ,"44737", , ,"4668","376567", , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"H310181[00100]","H310181[00200]","H310181[00300]","H310181[00400]","H310181[00500]","H310181[00600]","H310181[00700]", ,"H310181[00900]","H310181[01000]", ,"H310181[01200]", , , , , , , 
 ,"4740937", ,"4740937","27334","173","1288","16557", ,"223391","2871646", ,"3095037", , , , , , , 
 ,"2794985", ,"2794985","15241","183","892","9084", ,"163584","1665915", ,"1829499", , , , , , , 
 ,"780787", ,"780787","2524","309","135","1673", ,"41762","517543", ,"559305", , , , , , , 
 ,"29846", ,"29846","724","41","43","438", ,"1772","18054", ,"19826", , , , , , , 
 ,"323432", ,"323432","271","1193","5","184", ,"5967","219600", ,"225567", , , , , , , 
 ,"489508", ,"489508","2607","188","121","1949", ,"22720","365964", ,"388684", , , , , , , 
 ,"9159495", ,"9159495","48701", ,"2484","29885", ,"459196","5658722", ,"6117918", , , , , , , 
 ,"28660","1288","16557", , , , , , , , , , , , , , , , 
 ,"28660","892","9084", , , , , , , , , , , , , , , , 
 ,"28660","135","1673", , , , , , , , , , , , , , , , 
 ,"28660","43","438", , , , , , , , , , , , , , , , 
 ,"28660","5","184", , , , , , , , , , , , , , , , 
 ,"28660","121","1949", , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"H310182[00100]", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"1", , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"H320181[00100]","H320181[00200]","H320181[00300]","H320181[00400]","H320181[00500]","H320181[00600]","H320181[00700]", ,"H320181[00900]","H320181[01000]", ,"H320181[01200]", , , , , , , 
 ,"3046244", ,"3046244","11506","265","703","4681", ,"186119","1239295", ,"1425414", , , , , , , 
 ,"873851", ,"873851","6086","144","400","2887", ,"57432","414515", ,"471947", , , , , , , 
 ,"58547", ,"58547","1180","50","84","523", ,"4168","25951", ,"30119", , , , , , , 
 , , , ,"350", ,"71","160", , , , , , , , , , , , 
 ,"178075", ,"178075","607","293","34","215", ,"9975","63075", ,"73050", , , , , , , 
 ,"137496", ,"137496","1518","91","86","1018", ,"7790","92210", ,"100000", , , , , , , 
 ,"4294213", ,"4294213","21247", ,"1378","9484", ,"265484","1835046", ,"2100530", , , , , , , 
 ,"47380","703","4681", , , , , , , , , , , , , , , , 
 ,"47380","400","2887", , , , , , , , , , , , , , , , 
 ,"47380","84","523", , , , , , , , , , , , , , , , 
 ,"47380","71","160", , , , , , , , , , , , , , , , 
 ,"47380","34","215", , , , , , , , , , , , , , , , 
 ,"47380","86","1018", , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"H320182[00100]", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"1", , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"H410182[00100]","H410182[00200]", , , , , , , , , , , , , , , , , 
 ,"360596","4267125", , , , , , , , , , , , , , , , , 
 ,"5823","104744", , , , , , , , , , , , , , , , , 
 ,"3198","47021", , , , , , , , , , , , , , , , , 
 ,"1344","29176", , , , , , , , , , , , , , , , , 
 ,"3014","40037", , , , , , , , , , , , , , , , , 
 , ,"267", , , , , , , , , , , , , , , , , 
 ,"373975","4488370", , , , , , , , , , , , , , , , , 
 ,"373975","4488370", , , , , , , , , , , , , , , , , 
 ,"373975","4488370", , , , , , , , , , , , , , , , , 
 ,"373975","4488370", , , , , , , , , , , , , , , , , 
 ,"373975","4488370", , , , , , , , , , , , , , , , , 
 ,"7480","89768", , , , , , , , , , , , , , , , , 
 ,"366495","4398709", , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"H420182[00100]","H420182[00200]", , , , , , , , , , , , , , , , , 
 ,"174018","1234244", , , , , , , , , , , , , , , , , 
 ,"10609","17561", , , , , , , , , , , , , , , , , 
 ,"716","14892", , , , , , , , , , , , , , , , , 
 , ,"8290", , , , , , , , , , , , , , , , , 
 ,"5584","5202", , , , , , , , , , , , , , , , , 
 ,"190927","1280189", , , , , , , , , , , , , , , , , 
 ,"190927","1280189", , , , , , , , , , , , , , , , , 
 ,"190927","1280189", , , , , , , , , , , , , , , , , 
 ,"190927","1280189", , , , , , , , , , , , , , , , , 
 ,"190927","1280189", , , , , , , , , , , , , , , , , 
 ,"3819","25604", , , , , , , , , , , , , , , , , 
 ,"187108","1254690", , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"H510000[00000]","H510000[00100]","H510000[00200]", ,"H510000[00400]", , , , , , , , , , , , , , , 
 , ,"366495", ,"4398709", , , , , , , , , , , , , , , 
 , ,"366495", ,"4398709", , , , , , , , , , , , , , , 
 , , , ,"107", , , , , , , , , , , , , , , 
 , ,"366495", , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"H520000[00000]","H520000[00100]","H520000[00200]", ,"H520000[00400]", , , , , , , , , , , , , , , 
 , ,"187108", ,"1254690", , , , , , , , , , , , , , , 
 , ,"187108", ,"1254690", , , , , , , , , , , , , , , 
 , , , ,"105", , , , , , , , , , , , , , , 
 , ,"187108", , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
