"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (I2H0000)", ,"I2H0000[00100]","I2H0000[00200]", , ,"I2H0000[00500]", , , ,"I2H0000[00900]","I2H0000[01000]","I2H0000[01100]"
"Line(00100)", ,"192169","6441", , ,"62557", , , ,"261167","1030529","1291696"
"Line(00800)", ,"40480","1357", , ,"13177", , , ,"55014","217078","272092"
"Line(00900)", ,"151689","5084", , ,"49380", , , ,"206153","813451","1019604"
"Line(01700)", ,"192169","6441", , ,"62557", , , ,"261167","1030529","1291696"
