"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (H020000)", ,"H020000[00100]","H020000[00200]","H020000[00300]", ,"H020000[00500]","H020000[00600]", ,"H020000[00800]","H020000[00900]","H020000[01000]"
"Line(00500)", ,"125761","24822","1141", ,"37041","188765", ,"188765","22103","210868"
"Line(00600)", ,"1135467","224655","100772", ,"334432","1795326", ,"1795326", ,"1795326"
"Line(00700)", ,"345092","68277", , ,"101641","515010", ,"515010", ,"515010"
"Line(00800)", , , ,"34505", , ,"34505", ,"34505", ,"34505"
"Line(01000)", ,"67317","13319","4487", ,"19827","104950", ,"104950", ,"104950"
"Line(01100)", ,"45437","8990","13224", ,"13383","81034", ,"81034", ,"81034"
