"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (H010000)", ,"H010000[00100]","H010000[00200]","H010000[00300]", ,"H010000[00500]","H010000[00600]","H010000[00700]","H010000[00800]","H010000[00900]","H010000[01000]"
"Line(00500)", ,"424590","175957","35913", ,"616008","1252468","-967163","285305", ,"285305"
"Line(00600)", ,"2057030","852467","308146", ,"2984399","6202042", ,"6202042","-3094799","3107243"
"Line(00700)", ,"639334","264951", , ,"927565","1831850", ,"1831850", ,"1831850"
"Line(00800)", ,"152416","63164","75022", ,"221130","511732", ,"511732", ,"511732"
"Line(00900)", ,"6827","2829", , ,"9905","19561", ,"19561", ,"19561"
"Line(01000)", ,"54617","22634","55488", ,"79240","211979", ,"211979", ,"211979"
"Line(01100)", ,"77667","32187","98290", ,"112682","320826", ,"320826", ,"320826"
