"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D4K0000)", ,"D4K0000[00100]","D4K0000[00200]","D4K0000[00300]","D4K0000[00400]"
"Line(00100)", ,"18574","741","28","20743"
"Line(00200)", ,"27796","1668","18","30017"
"Line(00201)", , ,"1383"
"Line(00202)", ,"3892","3028","1","3028"
"Line(00700)", ,"50262", ,"47","53788"
"Line(00800)", ,"0","88606","19965"
"Line(00801)", ,"0","4134","1348"
"Line(01000)", ,"0"
"Line(01100)", ,"0","15548","4256"
"Line(01101)", ,"0","646","126"
"Line(01200)", ,"0","238233","59094"
"Line(01213)", ,"0","614","194"
"Line(01300)", ,"0"
"Line(01400)", ,"0","20115","2725"
"Line(01401)", ,"0"
"Line(01500)", ,"0","140096","10417"
"Line(01501)", ,"0"
"Line(01600)", ,"0"
"Line(01601)", ,"0"
"Line(01700)", ,"0","334616","53938"
"Line(01800)", ,"0","779404","58806"
"Line(01805)", ,"0","229273","50880"
"Line(01806)", ,"0","529225","206981"
"Line(01816)", ,"0","2620","898"
"Line(02100)", ,"0","84853","15105"
"Line(02101)", ,"0","1905","96"
"Line(02200)", ,"0"
"Line(02300)", ,"0","425437","82928"
"Line(02301)", ,"0","524","111"
"Line(02302)", ,"0","2218","635"
"Line(02400)", ,"0"
"Line(02402)", ,"0"
"Line(02500)", ,"0"
"Line(02502)", ,"0"
"Line(02600)", ,"0","354","120"
"Line(02602)", ,"0"
"Line(02603)", ,"0"
"Line(02700)", ,"0","122437","15675"
"Line(02701)", ,"0","347","6"
"Line(02800)", ,"0","234","63"
"Line(02900)", ,"0","30601","13654"
"Line(02901)", ,"1","398","210"
"Line(03000)", ,"0"
"Line(03001)", ,"0"
"Line(03100)", ,"0","85113","26457"
"Line(03101)", ,"0","734","242"
"Line(03200)", ,"0"
"Line(03402)", ,"0"
"Line(03700)", ,"0","31808","10408"
"Line(03701)", ,"1"
"Line(03702)", ,"0"
"Line(03703)", ,"0"
"Line(03704)", ,"0"
"Line(03705)", ,"0"
"Line(03706)", ,"0"
"Line(03707)", ,"0"
"Line(03708)", ,"0"
"Line(03709)", ,"1"
"Line(03710)", ,"0"
"Line(03711)", ,"0"
"Line(03712)", ,"1"
"Line(03713)", ,"0"
"Line(03714)", ,"0"
"Line(03715)", ,"0"
"Line(03716)", ,"0"
"Line(03717)", ,"0"
"Line(03718)", ,"0"
"Line(03720)", ,"1","1925","1418"
"Line(03800)", ,"0","2554","589"
"Line(03801)", ,"0"
"Line(03900)", ,"0"
"Line(04100)", , ,"3174572","637345"
"Line(04200)", , ,"28"
"Line(04300)", , ,"18"
"Line(04302)", , ,"1"
"Line(04800)", , ,"47"
"Line(05100)", ,"31808"
"Line(05120)", ,"1925"
"Line(05200)", ,"2554"
"Line(05500)", ,"36287"
"Line(05600)", ,"691133", ,"3224834"
"Line(05900)", ,"2789716", ,"3115388"
"Line(06100)", ,"3480849", ,"6340222"
"Line(06200)", , ,"74"
"Line(06300)", , ,"70"
"Line(06400)", , ,"1"
"Line(06500)", ,"3292695", ,"5997508"
"Line(06600)", ,"51305"
"Line(06700)", ,"3241390", ,"5997508"
"Line(06900)", ,"3241390", ,"5997508"
"Line(07000)", ,"10","16"
"Line(07300)", , ,"48"
"Line(07400)", ,"10","64"
"Line(07500)", ,"10","49"
"Line(07700)", , ,"15"
