"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (I3D0000)", ,"I3D0000[00100]","I3D0000[00200]","I3D0000[00300]","I3D0000[00400]","I3D0000[00500]","I3D0000[00600]","I3D0000[00700]","I3D0000[00800]","I3D0000[00900]","I3D0000[01000]"
"Line(00100)", ,"1412579","397279","3346630","1415565","1867769","-1091236","1384365", ,"8732951","4429987"
"Line(00200)", ,"16020","16020","16020","16020","16020","16020","16020","16020"
"Line(00400)", ,"31","31","31","31","31","31","31","31"
"Line(00600)", ,"4","4","4","4","4","4","4","4"
"Line(00700)", ,"21","21","21","21","21","21","21","21"
"Line(00800)", ,"3797","3797","3797","3797","3797","3797","3797","3797"
"Line(01000)", ,"422","422","422","422","422","422","422","422"
"Line(01100)", ,"7876","7876","7876","7876","7876","7876","7876","7876"
"Line(01700)", ,"28171","28171","28171","28171","28171","28171","28171","28171", ,"8732951"
