"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30B182)", ,"E30B182[00100]"
"Line(00100)", ,"1239833"
"Line(00200)", ,"44784"
"Line(00300)", ,"39130"
"Line(00400)", ,"16"
"Line(00600)", ,"0"
"Line(00800)", ,"0"
"Line(00900)", ,"18"
"Line(01000)", ,"0"
"Line(01100)", ,"14910"
"Line(01200)", ,"1338657"
"Line(01600)", ,"1338657"
"Line(01800)", ,"1338657"
"Line(01900)", ,"91140"
"Line(02000)", ,"1247517"
"Line(02100)", ,"47064"
"Line(02200)", ,"1200453"
"Line(02300)", ,"127262"
"Line(02400)", ,"82720"
"Line(02500)", ,"1415"
"Line(02600)", ,"1283173"
"Line(02800)", ,"6516"
"Line(03100)", ,"1289689"
"Line(03101)", ,"19474"
"Line(03200)", ,"1270215"
