"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E10A181)","E10A181[00000]","E10A181[00100]","E10A181[00200]","E10A181[00300]","E10A181[00400]"
"Line(00100)", , ,"279379605", ,"82016849"
"Line(00301)", ,"12/30/2013","201400"
"Line(00302)", ,"08/12/2014","6886597","08/12/2014","2864245"
"Line(00399)", , ,"7087997", ,"2864245"
"Line(00400)", , ,"286467602", ,"84881094"
"Line(00700)", , ,"287216447", ,"85643846"
