"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D30B180)", ,"D30B180[00100]","D30B180[00200]","D30B180[00300]"
"Line(04000)", , ,"2836562"
"Line(05000)", ,"0"
"Line(05001)", ,"0","4980","677"
"Line(05100)", ,"0"
"Line(05200)", ,"0"
"Line(05300)", ,"0"
"Line(05301)", ,"0"
"Line(05400)", ,"0","108652","16640"
"Line(05500)", ,"0"
"Line(05600)", ,"0"
"Line(05900)", ,"0"
"Line(06000)", ,"0","401334","40324"
"Line(06001)", ,"0"
"Line(06002)", ,"0"
"Line(06300)", ,"0","121","25"
"Line(06500)", ,"0","31246","8707"
"Line(06600)", ,"0","52842","13361"
"Line(06700)", ,"0","7372","2039"
"Line(06800)", ,"1","2281","1167"
"Line(06900)", ,"0","42082","3419"
"Line(07000)", ,"0","36994","8386"
"Line(07100)", ,"0","11878","3623"
"Line(07200)", ,"0"
"Line(07300)", ,"0","497224","146140"
"Line(07303)", ,"0"
"Line(07400)", ,"0","12885","4362"
"Line(07600)", ,"1"
"Line(07601)", ,"0"
"Line(07602)", ,"0","219681","66807"
"Line(07603)", ,"0"
"Line(07604)", ,"1"
"Line(07608)", ,"0"
"Line(07697)", ,"1"
"Line(09001)", ,"0"
"Line(09002)", ,"1"
"Line(09003)", ,"0"
"Line(09004)", ,"1"
"Line(09006)", ,"0","7373","1734"
"Line(09007)", ,"1"
"Line(09008)", ,"0"
"Line(09010)", ,"3"
"Line(09011)", ,"0"
"Line(09012)", ,"3"
"Line(09014)", ,"0"
"Line(09017)", ,"2","46","78"
"Line(09018)", ,"1"
"Line(09019)", ,"0"
"Line(09020)", ,"1"
"Line(09021)", ,"2"
"Line(09022)", ,"1"
"Line(09023)", ,"2"
"Line(09024)", ,"22523"
"Line(09100)", ,"0","184477","25287"
"Line(09200)", ,"1"
"Line(09400)", ,"0"
"Line(20000)", , ,"1621468","342776"
