"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (H010000)", ,"H010000[00100]","H010000[00200]", , ,"H010000[00500]","H010000[00600]", ,"H010000[00800]", ,"H010000[01000]"
"Line(00500)", ,"6778383","1454198", , ,"1051599","9284180", ,"9284180", ,"9284180"
"Line(00600)", ,"3145677","135190", , ,"16510","3297377", ,"3297377", ,"3297377"
"Line(00700)", ,"1909495","96996", , ,"7172","2013663", ,"2013663", ,"2013663"
"Line(00800)", ,"302930","29185", , ,"1900","334015", ,"334015", ,"334015"
"Line(00900)", ,"72975","3330", , ,"765","77070", ,"77070", ,"77070"
"Line(01000)", ,"110307","6622", , ,"668","117597", ,"117597", ,"117597"
"Line(01100)", ,"247554","9222", , ,"677","257453", ,"257453", ,"257453"
"Line(01600)", ,"1468350","112972", , ,"2832563","4413885", ,"4413885", ,"4413885"
"Line(02300)", ,"5109948","415860", , ,"8894956","14420764", ,"14420764", ,"14420764"
