"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (S300003)", , ,"S300003[00200]","S300003[00300]","S300003[00400]","S300003[00500]","S300003[00600]"
"Line(00100)", , ,"569084503","-3456591","565627912","18368042","31"
"Line(00200)", , ,"67750570","-968588","66781982","2166205","31"
"Line(00300)", , ,"501333933","-2488003","498845930","16201837","31"
"Line(00400)", , ,"171106206", ,"171106206","4364265","39"
"Line(00500)", , ,"122542061", ,"122542061", ,"25"
"Line(00600)", , ,"794982200","-2488003","792494197","20566102","39"
