"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D4K0000)", ,"D4K0000[00100]","D4K0000[00200]","D4K0000[00300]","D4K0000[00400]"
"Line(00100)", ,"591609","1010","261","263534"
"Line(00200)", ,"25095","1440"
"Line(00300)", ,"1307","1540"
"Line(00301)", , ,"1010"
"Line(00400)", , ,"1522"
"Line(00502)", , ,"1571"
"Line(00504)", ,"8078","1823"
"Line(00505)", , ,"1667"
"Line(00506)", , ,"2632"
"Line(00700)", ,"626089", ,"261","263534"
"Line(00800)", ,"0","2913589","626655"
"Line(00801)", ,"0","17603","2393"
"Line(00900)", ,"0","228388","39894"
"Line(01000)", ,"0"
"Line(01100)", ,"0","160871","24624"
"Line(01101)", ,"0","46651","8728"
"Line(01200)", ,"0","1086097","166335"
"Line(01300)", ,"0"
"Line(01400)", ,"0","2254890","448193"
"Line(01700)", ,"0"
"Line(01800)", ,"0","2435704","244727"
"Line(01801)", ,"0","5284024","1837408"
"Line(01802)", ,"0"
"Line(02100)", ,"0","23232","4716"
"Line(02300)", ,"0","36537","10181"
"Line(02400)", ,"0","408","103"
"Line(02500)", ,"0"
"Line(02600)", ,"1","528","270"
"Line(02700)", ,"0","851120","69150"
"Line(02800)", ,"0","90397","20491"
"Line(02900)", ,"0","132164","40317"
"Line(03000)", ,"0","41577","7350"
"Line(03100)", ,"0","930654","273529"
"Line(03103)", ,"0"
"Line(03200)", ,"0"
"Line(03400)", ,"1"
"Line(03401)", ,"0","296164","43698"
"Line(03402)", ,"0"
"Line(03403)", ,"0","658884","92673"
"Line(03404)", ,"1","565","662"
"Line(03408)", ,"0"
"Line(03497)", ,"1"
"Line(03700)", , ,"3350"
"Line(03701)", ,"0"
"Line(03702)", ,"1"
"Line(03703)", ,"0"
"Line(03704)", ,"1"
"Line(03706)", ,"0"
"Line(03707)", ,"1"
"Line(03708)", ,"0"
"Line(03710)", ,"3"
"Line(03711)", ,"0"
"Line(03712)", ,"3"
"Line(03714)", ,"0"
"Line(03717)", ,"2"
"Line(03718)", ,"1"
"Line(03719)", ,"0"
"Line(03720)", ,"1"
"Line(03721)", ,"2"
"Line(03722)", ,"1"
"Line(03723)", ,"2"
"Line(03724)", ,"21851"
"Line(03800)", ,"0","15631","2059"
"Line(03900)", ,"1","29140","14980"
"Line(04100)", , ,"17538168","3979136"
"Line(04200)", , ,"261"
"Line(04800)", , ,"261"
"Line(05100)", ,"3350"
"Line(05200)", ,"15631"
"Line(05300)", ,"29140"
"Line(05500)", ,"48121"
"Line(05600)", ,"4242670", ,"18164257"
"Line(05900)", ,"13039972", ,"33332836"
"Line(06100)", ,"17282642", ,"51497093"
"Line(06200)", , ,"276"
"Line(06300)", , ,"190"
"Line(06400)", , ,"1"
"Line(06500)", ,"11897474", ,"35450908"
"Line(06600)", ,"174585"
"Line(06700)", ,"11722889", ,"35450908"
"Line(06900)", ,"11722889", ,"35450908"
"Line(07000)", ,"71","54"
"Line(07300)", , ,"151"
"Line(07400)", ,"71","205"
"Line(07500)", ,"71","151","6225964"
"Line(07700)", , ,"54","174585"
