"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G000000)", ,"G000000[00100]"
"Line(00100)", ,"321361000"
"Line(00400)", ,"503929000"
"Line(00500)", ,"162073000"
"Line(00600)", ,"-189346000"
"Line(00700)", ,"40435000"
"Line(00800)", ,"20270000"
"Line(01100)", ,"858722000"
"Line(01200)", ,"141469000"
"Line(01300)", ,"39104000"
"Line(01400)", ,"-18372000"
"Line(01500)", ,"1900985000"
"Line(01600)", ,"-772317000"
"Line(01700)", ,"12884000"
"Line(01800)", ,"-9803000"
"Line(01900)", ,"42448000"
"Line(02000)", ,"-28985000"
"Line(02100)", ,"2607000"
"Line(02200)", ,"-1998000"
"Line(02300)", ,"1365306000"
"Line(02400)", ,"-992218000"
"Line(03000)", ,"1681110000"
"Line(03100)", ,"1898923000"
"Line(03400)", ,"1076629000"
"Line(03500)", ,"2147483647"
"Line(03600)", ,"2147483647"
"Line(03700)", ,"837890000"
"Line(03800)", ,"107852000"
"Line(04000)", ,"114094000"
"Line(04400)", ,"4900000"
"Line(04500)", ,"1064736000"
"Line(04800)", ,"1783709000"
"Line(04900)", ,"180302000"
"Line(05000)", ,"1964011000"
"Line(05100)", ,"2147483647"
"Line(05200)", ,"2147483647"
"Line(05900)", ,"2147483647"
