"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (H110001)","H110001[00000]", , , , ,"H110001[00500]","H110001[00600]"
"Line(00500)","9284180", , , , ,"9284180"
"Line(00600)","3297377", , , , ,"1227887","4525264"
"Line(00700)","2013663", , , , ,"749854","2763517"
"Line(00800)","334015", , , , ,"124382","458397"
"Line(00900)","77070", , , , ,"28700","105770"
"Line(01000)","117597", , , , ,"43791","161388"
"Line(01100)","257453", , , , ,"95871","353324"
"Line(01600)","4413885", , , , ,"1643656","6057541"
"Line(02300)","14420764", , , , ,"5370039","19790803"
