"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (K610000)", ,"K610000[00100]","K610000[00200]","K610000[00300]","K610000[00400]"
"Line(00100)", , , , ,"8141637"
"Line(00200)", , , , ,"48309"
"Line(00300)", , , , ,"169"
"Line(00400)", ,"36970"
"Line(00500)", ,"6230554"
"Line(00600)", , ,"4428"
"Line(00700)", , ,"746251"
"Line(00800)", ,"3175"
"Line(00900)", ,"535083"
"Line(01200)", , , ,"6911"
