"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"H010000[00100]","H010000[00200]", , ,"H010000[00500]","H010000[00600]", ,"H010000[00800]", ,"H010000[01000]", , , , , , , , , 
 ,"6778383","1454198", , ,"1051599","9284180", ,"9284180", ,"9284180", , , , , , , , , 
 ,"3145677","135190", , ,"16510","3297377", ,"3297377", ,"3297377", , , , , , , , , 
 ,"1909495","96996", , ,"7172","2013663", ,"2013663", ,"2013663", , , , , , , , , 
 ,"302930","29185", , ,"1900","334015", ,"334015", ,"334015", , , , , , , , , 
 ,"72975","3330", , ,"765","77070", ,"77070", ,"77070", , , , , , , , , 
 ,"110307","6622", , ,"668","117597", ,"117597", ,"117597", , , , , , , , , 
 ,"247554","9222", , ,"677","257453", ,"257453", ,"257453", , , , , , , , , 
 ,"1468350","112972", , ,"2832563","4413885", ,"4413885", ,"4413885", , , , , , , , , 
 ,"5109948","415860", , ,"8894956","14420764", ,"14420764", ,"14420764", , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"H110001[00000]", , , , ,"H110001[00500]","H110001[00600]", , , , , , , , , , , , , 
"9284180", , , , ,"9284180", , , , , , , , , , , , , , 
"3297377", , , , ,"1227887","4525264", , , , , , , , , , , , , 
"2013663", , , , ,"749854","2763517", , , , , , , , , , , , , 
"334015", , , , ,"124382","458397", , , , , , , , , , , , , 
"77070", , , , ,"28700","105770", , , , , , , , , , , , , 
"117597", , , , ,"43791","161388", , , , , , , , , , , , , 
"257453", , , , ,"95871","353324", , , , , , , , , , , , , 
"4413885", , , , ,"1643656","6057541", , , , , , , , , , , , , 
"14420764", , , , ,"5370039","19790803", , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 , , , , ,"H110002[00500]", , , , , , , , , , , , , , 
 , , , , ,"24931824", , , , , , , , , , , , , , 
 , , , , ,"3297377", , , , , , , , , , , , , , 
 , , , , ,"2013663", , , , , , , , , , , , , , 
 , , , , ,"334015", , , , , , , , , , , , , , 
 , , , , ,"77070", , , , , , , , , , , , , , 
 , , , , ,"117597", , , , , , , , , , , , , , 
 , , , , ,"257453", , , , , , , , , , , , , , 
 , , , , ,"4413885", , , , , , , , , , , , , , 
 , , , , ,"14420764", , , , , , , , , , , , , , 
 , , , , ,"24931824", , , , , , , , , , , , , , 
 , , , , ,"9284180", , , , , , , , , , , , , , 
