"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E40A180)", ,"E40A180[00100]","E40A180[00200]","E40A180[00300]"
"Line(00100)", ,"554"
"Line(00500)", ,"554"
"Line(00600)", ,"637"
"Line(00700)", ,"554"
"Line(00800)", ,"192","366","559"
"Line(00900)", ,"167","318","485"
"Line(01000)", , ,"17"
"Line(01100)", ,"167","335"
"Line(01200)", ,"172","332"
"Line(01300)", ,"173","333"
"Line(01400)", ,"171","334"
"Line(01600)", , ,"0"
"Line(01700)", ,"171","334"
"Line(01800)", ,"84320","79855"
"Line(01900)", ,"14397584","26671674","41069258"
"Line(02000)", ,"2"
"Line(02100)", ,"83"
"Line(02200)", ,"2"
"Line(02300)", ,"93232"
"Line(02400)", ,"163155"
"Line(02500)", ,"41232413"
"Line(02600)", ,"93282","21737"
"Line(02700)", ,"323763","323763"
"Line(02800)", ,"0","0"
"Line(02900)", ,"11879800","2768303"
"Line(03000)", , ,"391161"
"Line(03100)", , , ,"14256942"
"Line(03200)", ,"398"
"Line(03300)", ,"51958944"
"Line(03400)", ,"0"
"Line(03700)", ,"253656615"
"Line(03800)", ,"20722413"
"Line(04000)", ,"210974"
"Line(04100)", ,"274168054"
"Line(04200)", ,"122074515"
"Line(04300)", ,"7203"
"Line(04400)", ,"122067312"
"Line(04500)", ,"396235366"
"Line(04600)", ,"1"
"Line(04700)", ,"0"
"Line(04800)", ,"14256942"
"Line(04900)", ,"9864834"
