"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D10E181)", ,"D10E181[00100]"
"Line(00100)", ,"7982"
"Line(00200)", ,"7982"
"Line(00400)", ,"7982"
"Line(00900)", ,"2192"
"Line(02100)", ,"3596123"
"Line(02700)", ,"3596123"
"Line(03700)", ,"3596123"
"Line(07000)", ,"3596123"
"Line(07100)", ,"451"
"Line(07200)", ,"987562"
"Line(07400)", ,"987562"
"Line(08300)", ,"987562"
"Line(08400)", ,"483693"
