"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E40A180)", ,"E40A180[00100]","E40A180[00200]","E40A180[00300]"
"Line(00100)", ,"599"
"Line(00400)", ,"12"
"Line(00500)", ,"612"
"Line(00600)", ,"801"
"Line(00700)", ,"612"
"Line(00800)", ,"187","480","667"
"Line(00900)", ,"143","367","510"
"Line(01000)", , ,"22"
"Line(01100)", ,"143","388"
"Line(01200)", ,"142","391"
"Line(01300)", ,"157","391"
"Line(01400)", ,"147","390"
"Line(01600)", , ,"0"
"Line(01700)", ,"147","390"
"Line(01800)", ,"135241","128812"
"Line(01900)", ,"19908835","50285445","70194280"
"Line(02000)", ,"24"
"Line(02100)", ,"189"
"Line(02200)", ,"20"
"Line(02300)", ,"96601"
"Line(02400)", ,"1912694"
"Line(02500)", ,"72106974"
"Line(02600)", ,"95211","115952"
"Line(02700)", ,"450826","450826"
"Line(02800)", ,"0","0"
"Line(02900)", ,"15228416","18545842"
"Line(03000)", , ,"2620527"
"Line(03100)", , , ,"31153731"
"Line(03300)", ,"1254545"
"Line(03700)", ,"196033474"
"Line(03800)", ,"13830232"
"Line(04000)", ,"2010692"
"Line(04100)", ,"207853014"
"Line(04200)", ,"66729094"
"Line(04300)", ,"39834"
"Line(04400)", ,"66689260"
"Line(04500)", ,"274542274"
"Line(04600)", ,"1"
"Line(04700)", ,"0"
"Line(04800)", ,"31153731"
"Line(04900)", ,"23586147"
