"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30C183)", ,"E30C183[00100]"
"Line(00100)", ,"632257"
"Line(00200)", ,"0"
"Line(00300)", ,"36987"
"Line(00400)", ,"138282"
"Line(00500)", ,"3"
"Line(00700)", ,"3"
"Line(00900)", ,"3"
"Line(01000)", ,"18"
"Line(01100)", ,"0"
"Line(01200)", ,"73286"
"Line(01300)", ,"2738417"
"Line(01700)", ,"2738417"
"Line(01900)", ,"2738417"
"Line(02000)", ,"28704"
"Line(02100)", ,"2709713"
"Line(02200)", ,"48632"
"Line(02300)", ,"2661081"
"Line(02400)", ,"17238"
"Line(02500)", ,"11205"
"Line(02600)", ,"11169"
"Line(02700)", ,"2672286"
"Line(02900)", ,"2995"
"Line(03200)", ,"2675281"
"Line(03201)", ,"53506"
"Line(03300)", ,"2573990"
"Line(03500)", ,"47785"
"Line(03600)", ,"80353"
