"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D00A183)", ,"D00A183[00100]","D00A183[00200]", , ,"D00A183[00500]","D00A183[00600]","D00A183[00700]","D00A183[00800]","D00A183[00900]"
"Line(03000)", ,"4550714","13104", , ,"4563818","292304","16","64037","999618"
"Line(03100)", ,"140906","1716", , ,"142622","35923","4","8884","35269"
"Line(03200)", ,"644144","780", , ,"644924","9735","66","2709","179471"
"Line(03400)", , , , , , ,"5886", ,"1397"
"Line(03500)", , , , , , ,"10282", ,"2978"
"Line(03501)", , , , , , ,"8172", ,"1923"
"Line(04000)", , , , , , ,"102697", ,"11560"
"Line(04100)", , , , , , ,"6670", ,"1723"
"Line(04400)", , , , , , ,"7982", ,"2192"
