"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (S300003)", , ,"S300003[00200]","S300003[00300]","S300003[00400]","S300003[00500]","S300003[00600]"
"Line(00100)", , ,"475317334", ,"475317334","19828128","24"
"Line(00200)", , ,"69654954","4039896","73694850","3034286","24"
"Line(00300)", , ,"405662380","-4039896","401622484","16793842","24"
"Line(00400)", , ,"173433285", ,"173433285","3505256","49"
"Line(00500)", , ,"130721108", ,"130721108", ,"33"
"Line(00600)", , ,"709816773","-4039896","705776877","20299098","35"
