"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E10A181)","E10A181[00000]","E10A181[00100]","E10A181[00200]","E10A181[00300]","E10A181[00400]"
"Line(00100)", , ,"282300112", ,"61558155"
"Line(00301)", ,"03/24/2014","1318732","03/24/2014","192976"
"Line(00302)", ,"06/11/2014","60883"
"Line(00350)", ,"03/24/2014","1614968","03/24/2014","30346"
"Line(00351)", ,"06/11/2014","993289","06/11/2014","8477"
"Line(00399)", , ,"-1228642", ,"154153"
"Line(00400)", , ,"281071470", ,"61712308"
"Line(00700)", , ,"281178692", ,"62002199"
